name,attack,base_egg_steps,capture_rate,defense,experience_growth,hp,sp_attack,sp_defense,type1,type2,speed,is_legendary
Swablu,40,5120,255.0,60,600000,45,75,50,normal,flying,1.2,False
Budew,30,5120,255.0,35,1059860,40,70,55,grass,poison,1.2,False
Minun,40,5120,200.0,50,1000000,60,85,95,electric,,4.2,False
Metapod,20,3840,120.0,55,1000000,50,25,30,bug,,9.9,False
Chikorita,49,5120,45.0,65,1059860,45,65,45,grass,,6.4,False
Pinsir,155,6400,45.0,120,1250000,65,90,105,bug,,55.0,False
Cinccino,95,3840,60.0,60,800000,75,60,115,normal,,7.5,False
Elgyem,55,5120,255.0,55,1000000,55,55,30,psychic,,9.0,False
Foongus,55,5120,190.0,45,1000000,69,55,15,grass,poison,1.0,False
Ariados,90,3840,90.0,70,800000,70,70,40,bug,poison,33.5,False
Aipom,70,5120,45.0,55,800000,55,55,85,normal,,11.5,False
Accelgor,70,3840,75.0,40,1000000,80,60,145,bug,,25.3,False
Dialga,120,30720,3.0,120,1250000,100,100,90,steel,dragon,683.0,True
Starly,55,3840,255.0,30,1059860,40,30,60,normal,flying,2.0,False
Ledyba,20,3840,255.0,30,800000,40,80,55,bug,flying,10.8,False
Politoed,75,5120,45.0,75,1059860,90,100,70,water,,33.9,False
Dodrio,110,5120,45.0,70,1000000,60,60,110,normal,flying,85.2,False
Aggron,140,8960,45.0,230,1250000,70,80,50,steel,rock,360.0,False
Mankey,80,5120,190.0,35,1000000,40,45,70,fighting,,28.0,False
Hitmonlee,120,6400,45.0,53,1000000,50,110,87,fighting,,49.8,False
Oshawott,55,5120,45.0,45,1059860,55,45,45,water,,5.9,False
Cyndaquil,52,5120,45.0,43,1059860,39,50,65,fire,,7.9,False
Goldeen,67,5120,225.0,60,1000000,45,50,63,water,,15.0,False
Swinub,50,5120,225.0,40,1250000,50,30,50,ice,ground,6.5,False
Nihilego,53,30720,45.0,47,1250000,109,131,103,rock,poison,55.5,True
Mudkip,70,5120,45.0,50,1059860,50,50,40,water,,7.6,False
Sewaddle,53,3840,255.0,70,1059860,45,60,42,bug,grass,2.5,False
Weezing,90,5120,60.0,120,1000000,65,70,60,poison,,9.5,False
Grumpig,45,5120,60.0,65,800000,80,110,80,psychic,,71.5,False
Lopunny,136,5120,60.0,94,1000000,65,96,135,normal,,33.3,False
Togepi,20,2560,190.0,65,800000,35,65,20,fairy,,1.5,False
Teddiursa,80,5120,120.0,50,1000000,60,50,40,normal,,8.8,False
Lampent,40,5120,90.0,60,1059860,60,60,55,ghost,fire,13.0,False
Palkia,120,30720,3.0,100,1250000,90,120,100,water,dragon,336.0,True
Shroomish,40,3840,255.0,60,1640000,60,60,35,grass,,4.5,False
Porygon-Z,80,5120,30.0,70,1000000,85,75,90,normal,,34.0,False
Flygon,100,5120,45.0,80,1059860,80,80,100,ground,dragon,82.0,False
Tynamo,55,5120,190.0,40,1250000,35,40,60,electric,,0.3,False
Machop,80,5120,180.0,50,1059860,70,35,35,fighting,,19.5,False
Zekrom,150,30720,3.0,120,1250000,100,100,90,dragon,electric,345.0,True
Wigglytuff,70,2560,50.0,45,800000,140,50,45,normal,fairy,12.0,False
Heracross,185,6400,45.0,115,1250000,80,105,75,bug,fighting,54.0,False
Archeops,140,7680,45.0,65,1000000,75,65,110,rock,flying,32.0,False
Gyarados,155,1280,45.0,109,1250000,95,130,81,water,flying,235.0,False
Gliscor,95,5120,30.0,125,1059860,75,75,95,ground,flying,42.5,False
Tranquill,77,3840,120.0,62,1059860,62,42,65,normal,flying,15.0,False
Gardevoir,85,5120,45.0,65,1250000,68,135,100,psychic,fairy,48.4,False
Azelf,125,20480,3.0,70,1250000,75,70,115,psychic,,0.3,True
Regice,50,20480,3.0,100,1250000,80,200,50,ice,,175.0,True
Roselia,60,5120,150.0,45,1059860,50,80,65,grass,poison,2.0,False
Chimecho,50,6400,45.0,80,800000,75,90,65,psychic,,1.0,False
Bounsweet,30,5120,235.0,38,1059860,42,38,32,grass,,3.2,False
Pikachu,55,2560,190.0,40,1000000,35,50,90,electric,,6.0,False
Articuno,85,20480,3.0,100,1250000,90,125,85,ice,flying,55.4,True
Machoke,100,5120,90.0,70,1059860,80,60,45,fighting,,70.5,False
Gumshoos,110,3840,127.0,60,1000000,88,60,45,normal,,14.2,False
Pikipek,75,3840,255.0,30,1000000,35,30,65,normal,flying,1.2,False
Cloyster,95,5120,60.0,180,1250000,50,45,70,water,ice,132.5,False
Crawdaunt,120,3840,155.0,85,1640000,63,55,55,water,dark,32.8,False
Whismur,51,5120,190.0,23,1059860,64,23,28,normal,,16.3,False
Silcoon,35,3840,120.0,55,1000000,50,25,15,bug,,10.0,False
Chandelure,55,5120,45.0,90,1059860,60,90,80,ghost,fire,34.3,False
Jumpluff,55,5120,45.0,70,1059860,75,95,110,grass,flying,3.0,False
Amoonguss,85,5120,75.0,70,1000000,114,80,30,grass,poison,10.5,False
Victreebel,105,5120,45.0,65,1059860,80,70,70,grass,poison,15.5,False
Metagross,145,10240,3.0,150,1250000,80,110,110,steel,psychic,550.0,False
Braixen,59,5120,45.0,58,1059860,59,70,73,fire,,14.5,False
Tapu Bulu,130,3840,3.0,115,1250000,70,95,75,grass,fairy,45.5,True
Magikarp,10,1280,255.0,55,1250000,20,20,80,water,,10.0,False
Simisear,98,5120,75.0,63,1000000,75,63,101,fire,,28.0,False
Charjabug,82,3840,120.0,95,1000000,57,75,36,bug,electric,10.5,False
Ducklett,44,5120,190.0,50,1000000,62,50,55,water,flying,5.5,False
Eelektrik,85,5120,60.0,70,1250000,65,70,40,electric,,22.0,False
Gallade,165,5120,45.0,95,1250000,68,115,110,psychic,fighting,52.0,False
Fletchling,50,3840,255.0,43,1059860,45,38,62,normal,flying,1.7,False
Murkrow,85,5120,30.0,42,1059860,60,42,91,dark,flying,2.1,False
Noctowl,50,3840,90.0,50,1000000,100,96,70,normal,flying,40.8,False
Anorith,95,7680,45.0,50,600000,45,50,75,rock,bug,12.5,False
Forretress,90,5120,75.0,140,1000000,75,60,40,bug,steel,125.8,False
Nidorino,72,5120,120.0,57,1059860,61,55,65,poison,,19.5,False
Ferroseed,50,5120,255.0,91,1000000,44,86,10,grass,steel,18.8,False
Chingling,30,6400,120.0,50,800000,45,50,45,psychic,,0.6,False
Duskull,40,6400,190.0,90,800000,20,90,25,ghost,,15.0,False
Mimikyu,90,5120,45.0,80,1000000,55,105,96,ghost,fairy,0.7,False
Fearow,90,3840,90.0,65,1000000,65,61,100,normal,flying,38.0,False
Reshiram,120,30720,3.0,100,1250000,100,120,90,dragon,fire,330.0,True
Magnemite,35,5120,190.0,70,1000000,25,55,45,electric,steel,6.0,False
Huntail,104,5120,60.0,105,600000,55,75,52,water,,27.0,False
Ambipom,100,5120,45.0,66,800000,75,66,115,normal,,20.3,False
Snivy,45,5120,45.0,55,1059860,45,55,63,grass,,8.1,False
Spinda,60,3840,255.0,60,800000,60,60,60,normal,,5.0,False
Croagunk,61,2560,140.0,40,1000000,48,40,50,poison,fighting,23.0,False
Mesprit,105,20480,3.0,105,1250000,80,105,80,psychic,,0.3,True
Poliwag,50,5120,255.0,40,1059860,40,40,90,water,,12.4,False
Oricorio,70,5120,45.0,70,1000000,75,70,93,fire,flying,3.4,False
Golurk,124,6400,90.0,80,1000000,89,80,55,ground,ghost,330.0,False
Armaldo,125,7680,45.0,100,600000,75,80,45,rock,bug,68.2,False
Electabuzz,83,6400,45.0,57,1000000,65,85,105,electric,,30.0,False
Ursaring,130,5120,60.0,75,1000000,90,75,55,normal,,125.8,False
Bewear,125,3840,70.0,80,1000000,120,60,60,normal,fighting,135.0,False
Charizard,104,5120,45.0,78,1059860,78,115,100,fire,flying,90.5,False
Vanillite,50,5120,255.0,50,1250000,36,60,44,ice,,5.7,False
Floette,65,5120,120.0,67,1000000,74,128,92,fairy,,0.9,False
Happiny,5,10240,130.0,5,800000,100,65,30,normal,,24.4,False
Deino,65,10240,45.0,50,1250000,52,50,38,dark,dragon,17.3,False
Hoothoot,30,3840,255.0,30,1000000,60,56,50,normal,flying,21.2,False
Volcarona,60,10240,15.0,65,1250000,85,105,100,bug,fire,46.0,False
Sylveon,65,8960,45.0,65,1000000,95,130,60,fairy,,23.5,False
Finneon,49,5120,190.0,56,600000,49,61,66,water,,7.0,False
Rufflet,83,5120,190.0,50,1250000,70,50,60,normal,flying,10.5,False
Karrablast,75,3840,200.0,45,1000000,50,45,60,bug,,5.9,False
Lotad,30,3840,255.0,30,1059860,40,50,30,water,grass,2.6,False
Lapras,85,10240,45.0,80,1250000,130,95,60,water,ice,220.0,False
Poliwhirl,65,5120,120.0,65,1059860,65,50,90,water,,20.0,False
Sawsbuck,100,5120,75.0,70,1000000,80,70,95,normal,grass,92.5,False
Piloswine,100,5120,75.0,80,1250000,100,60,50,ice,ground,55.8,False
Litten,65,3840,45.0,40,1059860,45,40,70,fire,,4.3,False
Clauncher,53,3840,225.0,62,1250000,50,63,44,water,,8.3,False
Zoroark,105,5120,45.0,60,1059860,60,60,105,dark,,81.1,False
Garbodor,95,5120,60.0,82,1000000,80,82,75,poison,,107.3,False
Deerling,60,5120,190.0,50,1000000,60,50,75,normal,grass,19.5,False
Illumise,47,3840,150.0,75,1640000,65,85,85,bug,,17.7,False
Unfezant,115,3840,45.0,80,1059860,80,55,93,normal,flying,29.0,False
Manaphy,100,2560,3.0,100,1250000,100,100,100,water,,1.4,True
Glaceon,60,8960,45.0,110,1000000,65,95,65,ice,,25.9,False
Vikavolt,70,3840,45.0,90,1000000,77,75,43,bug,electric,45.0,False
Xatu,75,5120,75.0,70,1000000,65,70,95,psychic,flying,15.0,False
Galvantula,77,5120,75.0,60,1000000,70,60,108,bug,electric,14.3,False
Fraxure,117,10240,60.0,70,1250000,66,50,67,dragon,,36.0,False
Exeggcute,40,5120,90.0,80,1250000,60,45,40,grass,psychic,2.5,False
Baltoy,40,5120,255.0,55,1000000,40,70,55,ground,psychic,21.5,False
Zebstrika,100,5120,75.0,63,1000000,75,63,116,electric,,79.5,False
Loudred,71,5120,120.0,43,1059860,84,43,48,normal,,40.5,False
Cofagrigus,50,6400,90.0,145,1000000,58,105,30,ghost,,76.5,False
Cubone,50,5120,190.0,95,1000000,50,50,35,ground,,6.5,False
Virizion,90,20480,3.0,72,1250000,91,129,108,grass,fighting,200.0,True
Groudon,180,30720,3.0,160,1250000,100,90,90,ground,,950.0,True
Sunkern,30,5120,235.0,30,1059860,30,30,30,grass,,1.8,False
Lurantis,105,5120,75.0,90,1000000,70,90,45,grass,,18.5,False
Quilladin,78,5120,45.0,95,1059860,61,58,57,grass,,29.0,False
Lunala,113,30720,45.0,89,1250000,137,107,97,psychic,ghost,120.0,True
Infernape,104,5120,45.0,71,1059860,76,71,108,fire,fighting,55.0,False
Exploud,91,5120,45.0,63,1059860,104,73,68,normal,,84.0,False
Zubat,45,3840,255.0,35,1000000,40,40,55,poison,flying,7.5,False
Tapu Lele,85,3840,3.0,75,1250000,70,115,95,psychic,fairy,18.6,True
Hakamo-o,75,10240,45.0,90,1250000,55,70,65,dragon,fighting,47.0,False
Floatzel,105,5120,75.0,55,1000000,85,50,115,water,,33.5,False
Gurdurr,105,5120,90.0,85,1059860,85,50,40,fighting,,40.0,False
Kricketot,25,3840,255.0,41,1059860,37,41,25,bug,,2.2,False
Terrakion,129,20480,3.0,90,1250000,91,90,108,rock,fighting,260.0,True
Roggenrola,75,3840,255.0,85,1059860,55,25,15,rock,,18.0,False
Masquerain,60,3840,75.0,62,1000000,70,82,80,bug,flying,3.6,False
Crabominable,132,5120,60.0,77,1000000,97,67,43,fighting,ice,180.0,False
Dusknoir,100,6400,45.0,135,800000,45,135,45,ghost,,106.6,False
Gastrodon,83,5120,75.0,68,1000000,111,82,39,water,ground,29.9,False
Riolu,70,6400,75.0,40,1059860,40,40,60,fighting,,20.2,False
Kangaskhan,125,5120,45.0,100,1000000,105,100,100,normal,,80.0,False
Treecko,45,5120,45.0,35,1059860,40,55,70,grass,,5.0,False
Darumaka,90,5120,120.0,45,1059860,70,45,50,fire,,37.5,False
Wartortle,63,5120,45.0,80,1059860,59,80,58,water,,22.5,False
Azumarill,50,2560,75.0,80,800000,100,80,50,water,fairy,28.5,False
Swirlix,48,5120,200.0,66,1000000,62,57,49,fairy,,3.5,False
Shiinotic,45,5120,75.0,80,1000000,60,100,30,grass,fairy,11.5,False
Spoink,25,5120,255.0,35,800000,60,80,60,psychic,,30.6,False
Pyukumuku,60,3840,60.0,130,800000,55,130,5,water,,1.2,False
Rhydon,130,5120,60.0,120,1250000,105,45,40,ground,rock,120.0,False
Lileep,41,7680,45.0,77,600000,66,87,23,rock,grass,23.8,False
Steelix,125,6400,25.0,230,1000000,75,95,30,steel,ground,400.0,False
Palossand,75,3840,60.0,110,1000000,85,75,35,ghost,ground,250.0,False
Ralts,25,5120,235.0,25,1250000,28,35,40,psychic,fairy,6.6,False
Buzzwole,139,30720,25.0,139,1250000,107,53,79,bug,fighting,333.6,True
Wailmer,70,10240,125.0,35,1640000,130,35,60,water,,130.0,False
Jellicent,60,5120,60.0,70,1000000,100,105,60,water,ghost,135.0,False
Stunky,63,5120,225.0,47,1000000,63,41,74,poison,dark,19.2,False
Yungoos,70,3840,255.0,30,1000000,48,30,45,normal,,6.0,False
Morelull,35,5120,190.0,55,1000000,40,75,15,grass,fairy,1.5,False
Buizel,65,5120,190.0,35,1000000,55,30,85,water,,29.5,False
Hippowdon,112,7680,60.0,118,1250000,108,72,47,ground,,300.0,False
Nidoran♀,47,5120,235.0,52,1059860,55,40,41,poison,,7.0,False
Samurott,100,5120,45.0,85,1059860,95,70,70,water,,94.6,False
Omanyte,40,7680,45.0,100,1000000,35,55,35,rock,water,7.5,False
Blaziken,160,5120,45.0,80,1059860,80,80,100,fire,fighting,52.0,False
Golbat,80,3840,90.0,70,1000000,75,75,90,poison,flying,55.0,False
Dratini,64,10240,45.0,45,1250000,41,50,50,dragon,,3.3,False
Meganium,82,5120,45.0,100,1059860,80,100,80,grass,,100.5,False
Delphox,69,5120,45.0,72,1059860,75,100,104,fire,psychic,39.0,False
Corphish,80,3840,205.0,65,1640000,43,35,35,water,,11.5,False
Araquanid,70,3840,100.0,92,1000000,68,132,42,water,bug,82.0,False
Cleffa,25,2560,150.0,28,800000,50,55,15,fairy,,3.0,False
Xurkitree,89,30720,30.0,71,1250000,83,71,83,electric,,100.0,True
Doduo,85,5120,190.0,45,1000000,35,35,75,normal,flying,39.2,False
Basculin,92,10240,25.0,65,1000000,70,55,98,water,,18.0,False
Bidoof,45,3840,255.0,40,1000000,59,40,31,normal,,20.0,False
Krookodile,117,5120,45.0,80,1059860,95,70,92,ground,dark,96.3,False
Spinarak,60,3840,255.0,40,800000,40,40,30,bug,poison,8.5,False
Girafarig,80,5120,60.0,65,1000000,70,65,85,normal,psychic,41.5,False
Pangoro,124,6400,65.0,78,1000000,95,71,58,fighting,dark,136.0,False
Butterfree,45,3840,45.0,50,1000000,60,80,70,bug,flying,32.0,False
Altaria,110,5120,45.0,110,600000,75,105,80,dragon,flying,20.6,False
Electrode,50,5120,60.0,70,1000000,60,80,150,electric,,66.6,False
Phanpy,60,5120,120.0,60,1000000,90,40,40,ground,,33.5,False
Vileplume,80,5120,45.0,85,1059860,75,90,50,grass,poison,18.6,False
Kyurem,120,30720,3.0,90,1250000,125,100,95,dragon,ice,325.0,True
Beautifly,70,3840,45.0,50,1000000,60,50,65,bug,flying,28.4,False
Kommo-o,110,10240,45.0,125,1250000,75,105,85,dragon,fighting,78.2,False
Zorua,65,6400,75.0,40,1059860,40,40,65,dark,,12.5,False
Wormadam,69,3840,45.0,95,1000000,60,95,36,bug,grass,6.5,False
Boldore,105,3840,120.0,105,1059860,70,40,20,rock,,102.0,False
Meloetta,128,30720,3.0,90,1250000,100,77,128,normal,psychic,6.5,True
Sandile,72,5120,180.0,35,1059860,50,35,65,ground,dark,15.2,False
Farfetch'd,90,5120,45.0,55,1000000,52,62,60,normal,flying,15.0,False
Nosepass,45,5120,255.0,135,1000000,30,90,30,rock,,97.0,False
Shelgon,95,10240,45.0,100,1250000,65,50,50,dragon,,110.5,False
Yanmega,76,5120,30.0,86,1000000,86,56,95,bug,flying,51.5,False
Granbull,120,5120,75.0,75,800000,90,60,45,fairy,,48.7,False
Grovyle,65,5120,45.0,45,1059860,50,65,95,grass,,21.6,False
Swoobat,57,3840,45.0,55,1000000,67,55,114,psychic,flying,10.5,False
Grubbin,62,3840,255.0,45,1000000,47,45,46,bug,,4.4,False
Lairon,90,8960,90.0,140,1250000,60,50,40,steel,rock,120.0,False
Kecleon,90,5120,200.0,70,1059860,60,120,40,normal,,22.0,False
Psyduck,52,5120,190.0,48,1000000,50,50,55,water,,19.6,False
Gulpin,43,5120,225.0,53,1640000,70,53,40,poison,,10.3,False
Wobbuffet,33,5120,45.0,58,1000000,190,58,33,psychic,,28.5,False
Lickilicky,85,5120,30.0,95,1000000,110,95,50,normal,,140.0,False
Chespin,61,5120,45.0,65,1059860,56,45,38,grass,,9.0,False
Giratina,120,30720,3.0,100,1250000,150,100,90,ghost,dragon,750.0,True
Suicune,75,20480,3.0,115,1250000,100,115,85,water,,187.0,True
Inkay,54,5120,190.0,53,1000000,53,46,45,dark,psychic,3.5,False
Alakazam,50,5120,50.0,65,1059860,55,105,150,psychic,,48.0,False
Latias,100,30720,3.0,120,1250000,80,150,110,dragon,psychic,40.0,True
Popplio,54,3840,45.0,54,1059860,50,56,40,water,,7.5,False
Magby,75,6400,45.0,37,1000000,45,55,83,fire,,21.4,False
Aerodactyl,135,8960,45.0,85,1250000,80,95,150,rock,flying,59.0,False
Drifblim,80,7680,60.0,44,1640000,150,54,80,ghost,flying,15.0,False
Clawitzer,73,3840,55.0,88,1250000,71,89,59,water,,35.3,False
Slowbro,75,5120,75.0,180,1000000,95,80,30,water,psychic,78.5,False
Komala,115,5120,45.0,65,1250000,65,95,65,normal,,19.9,False
Feebas,15,5120,255.0,20,600000,20,55,80,water,,7.4,False
Vanilluxe,95,5120,45.0,85,1250000,71,95,79,ice,,57.5,False
Probopass,55,5120,60.0,145,1000000,60,150,40,rock,steel,340.0,False
Heliolisk,55,5120,75.0,52,1000000,62,94,109,electric,normal,21.0,False
Frillish,40,5120,190.0,50,1000000,55,85,40,water,ghost,33.0,False
Hitmontop,95,6400,45.0,95,1000000,50,110,70,fighting,,48.0,False
Goodra,100,10240,45.0,70,1250000,90,150,80,dragon,,150.5,False
Nidorina,62,5120,120.0,67,1059860,70,55,56,poison,,20.0,False
Umbreon,65,8960,45.0,110,1000000,95,130,65,dark,,27.0,False
Munna,25,2560,190.0,45,800000,76,55,24,psychic,,23.3,False
Froslass,80,5120,75.0,70,1000000,70,70,110,ice,ghost,26.6,False
Abra,20,5120,200.0,15,1059860,25,55,90,psychic,,19.5,False
Pineco,65,5120,190.0,90,1000000,50,35,15,bug,,7.2,False
Weepinbell,90,5120,120.0,50,1059860,65,45,55,grass,poison,6.4,False
Wooper,45,5120,255.0,45,1000000,55,25,15,water,ground,8.5,False
