name,attack,base_egg_steps,capture_rate,defense,experience_growth,hp,sp_attack,sp_defense,type1,type2,speed,is_legendary
Arcanine,110,5120,75.0,80,1250000,90,80,95,fire,,155.0,False
Magcargo,50,5120,75.0,120,1000000,60,80,30,fire,rock,55.0,False
Feraligatr,105,5120,45.0,100,1059860,85,83,78,water,,88.8,False
Conkeldurr,140,5120,45.0,95,1059860,105,65,45,fighting,,87.0,False
Greninja,145,5120,45.0,67,1059860,72,71,132,water,dark,40.0,False
Toucannon,120,3840,45.0,75,1000000,80,75,60,normal,flying,26.0,False
Munchlax,85,10240,50.0,40,1250000,135,85,5,normal,,105.0,False
Oddish,50,5120,255.0,55,1059860,45,65,30,grass,poison,5.4,False
Chinchou,38,5120,190.0,38,1250000,75,56,67,water,electric,12.0,False
Rayquaza,180,30720,45.0,100,1250000,105,100,115,dragon,flying,206.5,True
Scrafty,90,3840,90.0,115,1000000,65,115,58,dark,fighting,30.0,False
Gourgeist,100,5120,60.0,122,1000000,85,75,54,ghost,grass,39.0,False
Type: Null,95,30720,3.0,95,1250000,95,95,59,normal,,120.5,False
Onix,45,6400,45.0,160,1000000,35,45,70,rock,ground,210.0,False
Remoraid,65,5120,190.0,35,1000000,35,35,65,water,,12.0,False
Voltorb,30,5120,190.0,50,1000000,40,55,100,electric,,10.4,False
Glalie,120,5120,75.0,80,1000000,80,80,100,ice,,256.5,False
Trevenant,110,5120,60.0,76,1000000,85,82,56,ghost,grass,71.0,False
Dustox,50,3840,45.0,70,1000000,60,90,65,bug,poison,31.6,False
Drilbur,85,5120,120.0,40,1000000,60,45,68,ground,,8.5,False
Skiddo,65,5120,200.0,48,1000000,66,57,52,grass,,31.0,False
Scraggy,75,3840,180.0,70,1000000,50,70,48,dark,fighting,11.8,False
Venipede,45,3840,255.0,59,1059860,30,39,57,bug,poison,5.3,False
Kabuto,80,7680,45.0,90,1000000,30,45,55,rock,water,11.5,False
Latios,130,30720,3.0,100,1250000,80,120,110,dragon,psychic,60.0,True
Gengar,65,5120,45.0,80,1059860,60,95,130,ghost,poison,40.5,False
Typhlosion,84,5120,45.0,78,1059860,78,85,100,fire,,79.5,False
Seaking,92,5120,60.0,65,1000000,80,80,68,water,,39.0,False
Poochyena,55,3840,255.0,35,1000000,35,30,35,dark,,13.6,False
Sentret,46,3840,255.0,34,1000000,35,45,20,normal,,6.0,False
Cottonee,27,5120,190.0,60,1000000,40,50,66,grass,fairy,0.6,False
Miltank,80,5120,45.0,105,1250000,95,70,100,normal,,75.5,False
Pachirisu,45,2560,200.0,70,1000000,60,90,95,electric,,3.9,False
Honchkrow,125,5120,30.0,52,1059860,100,52,71,dark,flying,27.3,False
Regigigas,160,30720,3.0,110,1250000,110,110,100,normal,,420.0,True
Combusken,85,5120,45.0,60,1059860,60,60,55,fire,fighting,19.5,False
Walrein,80,5120,45.0,90,1059860,110,90,65,ice,water,150.6,False
Monferno,78,5120,45.0,52,1059860,64,52,81,fire,fighting,22.0,False
Taillow,55,3840,200.0,30,1059860,40,30,85,normal,flying,2.3,False
Gogoat,100,5120,45.0,62,1000000,123,81,68,grass,,91.0,False
Comfey,52,5120,60.0,90,800000,51,110,100,fairy,,0.3,False
Jynx,50,6400,45.0,35,1000000,65,95,95,ice,psychic,40.6,False
Amaura,59,7680,45.0,50,1000000,77,63,46,rock,ice,25.2,False
Koffing,65,5120,190.0,95,1000000,40,45,35,poison,,1.0,False
Swellow,85,3840,45.0,60,1059860,60,50,125,normal,flying,19.8,False
Vibrava,70,5120,120.0,50,1059860,50,50,70,ground,dragon,15.3,False
Shiftry,100,3840,45.0,60,1059860,90,60,80,grass,dark,59.6,False
Crabrawler,82,5120,225.0,57,1000000,47,47,63,fighting,,7.0,False
Horsea,40,5120,225.0,70,1000000,30,25,60,water,,8.0,False
Unown,72,10240,225.0,48,1000000,48,48,48,psychic,,5.0,False
Hitmonchan,105,6400,45.0,79,1000000,50,110,76,fighting,,50.2,False
Snubbull,80,5120,190.0,50,800000,60,40,30,fairy,,7.8,False
Kartana,181,30720,255.0,131,1250000,59,31,109,grass,steel,0.1,True
Slakoth,60,3840,255.0,60,1250000,60,35,30,normal,,24.0,False
Pansear,53,5120,190.0,48,1000000,50,48,64,fire,,11.0,False
Maractus,86,5120,255.0,67,1000000,75,67,60,grass,,28.0,False
Espurr,48,5120,190.0,54,1000000,62,60,68,psychic,,3.5,False
Cherrim,60,5120,75.0,70,1000000,70,78,85,grass,,9.3,False
Doublade,110,5120,90.0,150,1000000,59,49,35,steel,ghost,4.5,False
Tsareena,120,5120,45.0,98,1059860,72,98,72,grass,,21.4,False
Wimpod,35,5120,90.0,40,1000000,25,30,80,bug,water,12.0,False
Tyrantrum,121,7680,45.0,119,1000000,82,59,71,rock,dragon,270.0,False
Bagon,75,10240,45.0,60,1250000,45,30,50,dragon,,42.1,False
Moltres,100,20480,3.0,90,1250000,90,85,90,fire,flying,60.0,True
Quagsire,85,5120,90.0,85,1000000,95,65,35,water,ground,75.0,False
Carvanha,90,5120,225.0,20,1250000,45,20,65,water,dark,20.8,False
Beldum,55,10240,3.0,80,1250000,40,60,30,steel,psychic,95.2,False
Mew,100,30720,45.0,100,1059860,100,100,100,psychic,,4.0,True
Gorebyss,84,5120,60.0,105,600000,55,75,52,water,,22.6,False
Excadrill,135,5120,60.0,60,1000000,110,65,88,ground,steel,40.4,False
Mienfoo,85,6400,180.0,50,1059860,45,50,65,fighting,,20.0,False
Patrat,55,3840,255.0,39,1000000,45,39,42,normal,,11.6,False
Houndoom,90,5120,45.0,90,1250000,75,90,115,dark,fire,35.0,False
Uxie,75,20480,3.0,130,1250000,75,130,95,psychic,,0.3,True
Passimian,120,5120,45.0,90,1250000,100,60,80,fighting,,82.8,False
Luxio,85,5120,120.0,49,1059860,60,49,60,electric,,30.5,False
Electrike,45,5120,120.0,40,1250000,40,40,65,electric,,15.2,False
Jolteon,65,8960,45.0,60,1000000,65,95,130,electric,,24.5,False
Clefable,70,2560,25.0,73,800000,95,90,60,fairy,,40.0,False
Goomy,50,10240,45.0,35,1250000,45,75,40,dragon,,2.8,False
Ampharos,95,5120,45.0,105,1059860,90,110,45,electric,,61.5,False
Hippopotas,72,7680,140.0,78,1250000,68,42,32,ground,,49.5,False
Genesect,120,30720,3.0,95,1250000,71,95,99,bug,steel,82.5,True
Misdreavus,60,6400,45.0,60,800000,60,85,85,ghost,,1.0,False
Absol,150,6400,30.0,60,1059860,65,60,115,dark,,47.0,False
Noibat,30,5120,190.0,35,1000000,40,40,55,flying,dragon,8.0,False
Talonflame,81,3840,45.0,71,1059860,78,69,126,fire,flying,24.5,False
Stufful,75,3840,140.0,50,1000000,70,50,50,normal,fighting,6.8,False
Swanna,87,5120,45.0,63,1000000,75,63,98,water,flying,24.2,False
Dusclops,70,6400,90.0,130,800000,40,130,25,ghost,,30.6,False
Torkoal,85,5120,90.0,140,1000000,70,70,20,fire,,80.4,False
Chesnaught,107,5120,45.0,122,1059860,88,75,64,grass,fighting,90.0,False
Vanillish,65,5120,120.0,65,1250000,51,75,59,ice,,41.0,False
Spheal,40,5120,255.0,50,1059860,70,50,25,ice,water,39.5,False
Clefairy,45,2560,150.0,48,800000,70,65,35,fairy,,7.5,False
Donphan,120,5120,60.0,120,1000000,90,60,50,ground,,120.0,False
Barbaracle,105,5120,45.0,115,1000000,72,86,68,rock,water,96.0,False
Aron,70,8960,180.0,100,1250000,50,40,30,steel,rock,60.0,False
Purrloin,50,5120,255.0,37,1000000,41,37,66,dark,,10.1,False
Cranidos,125,7680,45.0,40,600000,67,30,58,rock,,31.5,False
Torchic,60,5120,45.0,40,1059860,45,50,45,fire,,2.5,False
Growlithe,70,5120,190.0,45,1250000,55,50,60,fire,,19.0,False
Pancham,82,6400,220.0,62,1000000,67,48,43,fighting,,8.0,False
Flaaffy,55,5120,120.0,55,1059860,70,60,45,electric,,13.3,False
Electivire,123,6400,30.0,67,1000000,75,85,95,electric,,138.6,False
Phantump,70,5120,120.0,48,1000000,43,60,38,ghost,grass,7.0,False
Steenee,40,5120,120.0,48,1059860,52,48,62,grass,,8.2,False
Staraptor,120,3840,45.0,70,1059860,85,60,100,normal,flying,24.9,False
Grotle,89,5120,45.0,85,1059860,75,65,36,grass,,97.0,False
Emboar,123,5120,45.0,65,1059860,110,65,65,fire,fighting,150.0,False
Solosis,30,5120,200.0,40,1059860,45,50,20,psychic,,1.0,False
Hawlucha,92,5120,100.0,75,1000000,78,63,118,fighting,flying,21.5,False
Servine,60,5120,45.0,75,1059860,60,75,83,grass,,16.0,False
Tentacool,40,5120,190.0,35,1250000,40,100,70,water,poison,45.5,False
Shuckle,10,5120,190.0,230,1059860,20,230,5,bug,rock,20.5,False
Marill,20,2560,190.0,50,800000,70,50,40,water,fairy,8.5,False
Furfrou,80,5120,160.0,60,1000000,75,90,102,normal,,28.0,False
Zangoose,115,5120,90.0,60,600000,73,60,90,normal,,40.3,False
Skitty,45,3840,255.0,45,800000,50,35,50,normal,,11.0,False
Porygon2,80,5120,45.0,90,1000000,85,95,60,normal,,32.5,False
Bouffalant,110,5120,45.0,95,1000000,95,95,55,normal,,94.6,False
Mantine,40,6400,25.0,70,1250000,85,140,70,water,flying,220.0,False
Avalugg,117,5120,55.0,184,1000000,95,46,28,ice,,505.0,False
Smoochum,30,6400,45.0,15,1000000,45,65,65,ice,psychic,6.0,False
Milotic,60,5120,60.0,79,600000,95,125,81,water,,162.0,False
Frogadier,63,5120,45.0,52,1059860,54,56,97,water,,10.9,False
Pansage,53,5120,190.0,48,1000000,50,48,64,grass,,10.5,False
Mr. Mime,45,6400,45.0,65,1000000,40,120,90,psychic,fairy,54.5,False
Skuntank,93,5120,60.0,67,1000000,103,61,84,poison,dark,38.0,False
Kyogre,150,30720,3.0,90,1250000,100,160,90,water,,352.0,True
Kabutops,115,7680,45.0,105,1000000,60,70,80,rock,water,40.5,False
Minccino,50,3840,255.0,40,800000,55,40,75,normal,,5.8,False
Croconaw,80,5120,45.0,80,1059860,65,63,58,water,,25.0,False
Rotom,65,5120,45.0,107,1000000,50,107,86,electric,ghost,0.3,False
Bayleef,62,5120,45.0,80,1059860,60,80,60,grass,,15.8,False
Gligar,75,5120,60.0,105,1059860,65,65,85,ground,flying,64.8,False
Makuhita,60,5120,180.0,30,1640000,72,30,25,fighting,,86.4,False
Squirtle,48,5120,45.0,65,1059860,44,64,43,water,,9.0,False
Nidoqueen,92,5120,45.0,87,1059860,90,85,76,poison,ground,60.0,False
Crustle,105,5120,75.0,125,1000000,70,75,45,bug,rock,200.0,False
Carnivine,100,6400,200.0,72,1250000,74,72,46,grass,,27.0,False
Ditto,48,5120,35.0,48,1000000,48,48,48,normal,,4.0,False
Snorunt,50,5120,190.0,50,1000000,50,50,50,ice,,16.8,False
Purugly,82,5120,75.0,64,800000,71,59,112,normal,,43.8,False
Magmortar,95,6400,30.0,67,1000000,75,95,83,fire,,68.0,False
Magneton,60,5120,60.0,95,1000000,50,70,70,electric,steel,60.0,False
Bronzong,89,5120,90.0,116,1000000,67,116,33,steel,psychic,187.0,False
Golett,74,6400,190.0,50,1000000,59,50,35,ground,ghost,92.0,False
Slaking,160,3840,45.0,100,1250000,150,65,100,normal,,130.5,False
Burmy,29,3840,120.0,45,1000000,40,45,36,bug,,3.4,False
Dewgong,70,5120,75.0,80,1000000,90,95,70,water,ice,120.0,False
Stunfisk,66,5120,75.0,84,1000000,109,99,32,ground,electric,11.0,False
Gastly,35,5120,190.0,30,1059860,30,35,80,ghost,poison,0.1,False
Blastoise,103,5120,45.0,120,1059860,79,115,78,water,,85.5,False
Turtonator,78,5120,70.0,135,1000000,60,85,36,fire,dragon,212.0,False
Spewpa,22,3840,120.0,60,1000000,45,30,29,bug,,8.4,False
Pelipper,50,5120,45.0,100,1000000,60,70,65,water,flying,28.0,False
Stantler,95,5120,45.0,62,1250000,73,65,85,normal,,71.2,False
Barboach,48,5120,190.0,43,1000000,50,41,60,water,ground,1.9,False
Phione,80,10240,30.0,80,1250000,80,80,80,water,,3.1,False
Trumbeak,85,3840,120.0,50,1000000,55,50,75,normal,flying,14.8,False
Chimchar,58,5120,45.0,44,1059860,44,44,61,fire,,6.2,False
Luxray,120,5120,45.0,79,1059860,80,79,70,electric,,42.0,False
Quilava,64,5120,45.0,58,1059860,58,65,80,fire,,19.0,False
Cosmog,29,30720,45.0,31,1250000,43,31,37,psychic,,0.1,True
Drampa,60,5120,70.0,85,1000000,78,91,36,normal,dragon,185.0,False
Camerupt,120,5120,150.0,100,1000000,70,105,20,fire,ground,220.0,False
Cherubi,35,5120,190.0,45,1000000,45,53,35,grass,,3.3,False
Breloom,130,3840,90.0,80,1640000,60,60,70,grass,fighting,39.2,False
Litwick,30,5120,190.0,55,1059860,50,55,20,ghost,fire,3.1,False
Elekid,63,6400,45.0,37,1000000,45,55,95,electric,,23.5,False
Roserade,70,5120,75.0,65,1059860,60,105,90,grass,poison,14.5,False
Joltik,47,5120,190.0,50,1000000,50,50,65,bug,electric,0.6,False
Lillipup,60,3840,255.0,45,1059860,45,45,55,normal,,4.1,False
Toxicroak,106,5120,75.0,65,1000000,83,65,85,poison,fighting,44.4,False
Beheeyem,75,5120,90.0,75,1000000,75,95,40,psychic,,34.5,False
Incineroar,115,3840,45.0,90,1059860,95,90,60,fire,dark,83.0,False
Bisharp,125,5120,45.0,100,1000000,65,70,70,dark,steel,70.0,False
Golisopod,125,5120,45.0,140,1000000,75,90,40,bug,water,108.0,False
Marshtomp,85,5120,45.0,70,1059860,70,70,50,water,ground,28.0,False
Mandibuzz,65,5120,60.0,105,1250000,110,95,80,dark,flying,39.5,False
Togetic,40,2560,75.0,85,800000,55,105,40,fairy,flying,3.2,False
Wynaut,23,5120,125.0,48,1000000,95,48,23,psychic,,14.0,False
Klink,55,5120,130.0,70,1059860,40,60,30,steel,,21.0,False
Blitzle,60,5120,190.0,32,1000000,45,32,76,electric,,29.8,False
Tyrunt,89,7680,45.0,77,1000000,58,45,48,rock,dragon,26.0,False
Dunsparce,70,5120,190.0,70,1000000,100,65,45,normal,,14.0,False
Nidoran♂,57,5120,235.0,40,1059860,46,40,50,poison,,9.0,False
Vullaby,55,5120,190.0,75,1250000,70,65,60,dark,flying,9.0,False
Meditite,40,5120,180.0,55,1000000,30,55,60,fighting,psychic,11.2,False
Alomomola,75,10240,75.0,80,800000,165,45,65,water,,31.6,False
Parasect,95,5120,75.0,80,1000000,60,80,30,bug,grass,29.5,False
Spearow,60,3840,255.0,30,1000000,40,31,70,normal,flying,2.0,False
Tauros,100,5120,45.0,95,1250000,75,70,110,normal,,88.4,False
Eevee,55,8960,45.0,50,1000000,55,65,55,normal,,6.5,False
Slugma,40,5120,190.0,40,1000000,40,40,20,fire,,35.0,False
Beartic,130,5120,60.0,80,1000000,95,80,50,ice,,260.0,False
Scyther,110,6400,45.0,80,1000000,70,80,105,bug,flying,56.0,False
Garchomp,170,10240,45.0,115,1250000,108,95,92,dragon,ground,95.0,False
Kadabra,35,5120,100.0,30,1059860,40,70,105,psychic,,56.5,False
Combee,30,3840,120.0,42,1059860,30,42,70,bug,flying,5.5,False
Espeon,65,8960,45.0,60,1000000,65,95,110,psychic,,26.5,False
Gabite,90,10240,45.0,65,1250000,68,55,82,dragon,ground,56.0,False
Starmie,75,5120,60.0,85,1250000,60,85,115,water,psychic,80.0,False
Crobat,90,3840,90.0,80,1000000,85,80,130,poison,flying,75.0,False
Banette,165,6400,45.0,75,800000,64,83,75,ghost,,12.5,False
Mudsdale,125,5120,60.0,100,1000000,100,85,35,ground,,920.0,False
Spritzee,52,5120,200.0,60,1000000,78,65,23,fairy,,0.5,False
Venomoth,65,5120,75.0,60,1000000,70,75,90,bug,poison,12.5,False
Shaymin,103,30720,45.0,75,1059860,100,75,127,grass,grass,2.1,True
Binacle,52,5120,120.0,67,1000000,42,56,50,rock,water,31.0,False
Skarmory,80,6400,25.0,140,1250000,65,70,70,steel,flying,50.5,False
Durant,109,5120,90.0,112,1000000,58,48,109,bug,steel,33.0,False
Ponyta,85,5120,190.0,55,1000000,50,65,90,fire,,30.0,False
Archen,112,7680,45.0,45,1000000,55,45,70,rock,flying,9.5,False
Tangrowth,100,5120,30.0,125,1000000,100,50,50,grass,,128.6,False
Omastar,60,7680,45.0,125,1000000,70,70,55,rock,water,35.0,False
Druddigon,120,7680,45.0,90,1000000,77,90,48,dragon,,139.0,False
Ribombee,55,5120,75.0,60,1000000,60,70,124,bug,fairy,0.5,False
Spiritomb,92,7680,100.0,108,1000000,50,108,35,ghost,dark,108.0,False
Larvesta,85,10240,45.0,55,1250000,55,55,60,bug,fire,28.8,False
Ledian,35,3840,90.0,50,800000,55,110,85,bug,flying,35.6,False
Medicham,100,5120,90.0,85,1000000,60,85,100,fighting,psychic,31.5,False
Staravia,75,3840,120.0,50,1059860,55,40,80,normal,flying,15.5,False
Fennekin,45,5120,45.0,40,1059860,40,60,60,fire,,9.4,False
Tangela,55,5120,45.0,115,1000000,65,40,60,grass,,35.0,False
Heatran,90,2560,3.0,106,1250000,91,106,77,fire,steel,430.0,True
Numel,60,5120,255.0,40,1000000,60,45,35,fire,ground,24.0,False
Deoxys,95,30720,3.0,90,1250000,50,90,180,psychic,,60.8,True
Venonat,55,5120,190.0,50,1000000,60,55,45,bug,poison,30.0,False
Mismagius,60,6400,45.0,60,800000,60,105,105,ghost,,4.4,False
Rowlet,55,3840,45.0,55,1059860,68,50,42,grass,flying,1.5,False
Dragonite,134,10240,45.0,95,1250000,91,100,80,dragon,flying,210.0,False
Florges,65,5120,45.0,68,1000000,78,154,75,fairy,,10.0,False
Musharna,55,2560,75.0,85,800000,116,95,29,psychic,,60.5,False
Helioptile,38,5120,190.0,33,1000000,44,43,70,electric,normal,6.0,False
Caterpie,30,3840,255.0,35,1000000,45,20,45,bug,,2.9,False
Kirlia,35,5120,120.0,35,1250000,38,55,50,psychic,fairy,20.2,False
Silvally,95,30720,3.0,95,1250000,95,95,95,normal,,100.5,False
Lickitung,55,5120,45.0,75,1000000,90,75,30,normal,,65.5,False
Brionne,69,3840,45.0,69,1059860,60,81,50,water,,17.5,False
Shelmet,40,3840,200.0,85,1000000,50,65,25,bug,,7.7,False
Cutiefly,45,5120,190.0,40,1000000,40,40,84,bug,fairy,0.2,False
Togedemaru,98,2560,180.0,63,1000000,65,73,96,electric,steel,3.3,False
Tentacruel,70,5120,60.0,65,1250000,80,120,100,water,poison,55.0,False
Shuppet,75,6400,225.0,35,800000,44,33,45,ghost,,2.3,False
Aurorus,77,7680,45.0,72,1000000,123,92,58,rock,ice,225.0,False
Slowpoke,65,5120,190.0,65,1000000,90,40,15,water,psychic,36.0,False
Jirachi,100,30720,3.0,100,1250000,100,100,100,steel,psychic,1.1,True
Shedinja,90,3840,45.0,45,600000,1,30,40,bug,ghost,1.2,False
Necrozma,107,30720,3.0,101,1250000,97,89,79,psychic,,230.0,True
Zweilous,85,10240,45.0,70,1250000,72,70,58,dark,dragon,50.0,False
Flabébé,38,5120,225.0,39,1000000,44,79,42,fairy,,0.1,False
Mantyke,20,6400,25.0,50,1250000,45,120,50,water,flying,65.0,False
Seismitoad,95,5120,45.0,75,1059860,105,75,74,water,ground,62.0,False
